Unnamed: 0,userName,score,at,content,content_lower,content_token,content_no_stopwords,content_stemmed,Topic
4983,Wayan Arjawa,5,2021-01-08 00:39:33,aku suka sekali dengan aplikasi mcd bagus banget,aku suka sekali dengan aplikasi mcd bagus banget,"['aku', 'suka', 'sekali', 'dengan', 'aplikasi', 'mcd', 'bagus', 'banget']","['suka', 'aplikasi', 'mcd', 'bagus', 'banget']","['suka', 'aplikasi', 'mcd', 'bagus', 'banget']",75
4984,Sujaya Jaya,5,2021-01-07 19:24:03,Ok,ok,['ok'],['ok'],['ok'],1
4985,Effendi Johari,5,2021-01-07 13:44:58,Enak jg bs pesan antar dari hp.,enak jg bs pesan antar dari hp.,"['enak', 'jg', 'bs', 'pesan', 'antar', 'dari', 'hp', '.']","['enak', 'jg', 'bs', 'pesan', 'hp', '.']","['enak', 'jg', 'bs', 'pesan', 'hp', '']",17
4986,Leni Mardesa,5,2021-01-07 09:12:28,Game ini sangat bagus dan saya bisa memainkannya a ini buat saya nama saya sadit oke Karena semua itu download sekarang juga oke kalian ndak mau game ini sangat sama kayak gitu oke sekarang juga,game ini sangat bagus dan saya bisa memainkannya a ini buat saya nama saya sadit oke karena semua itu download sekarang juga oke kalian ndak mau game ini sangat sama kayak gitu oke sekarang juga,"['game', 'ini', 'sangat', 'bagus', 'dan', 'saya', 'bisa', 'memainkannya', 'a', 'ini', 'buat', 'saya', 'nama', 'saya', 'sadit', 'oke', 'karena', 'semua', 'itu', 'download', 'sekarang', 'juga', 'oke', 'kalian', 'ndak', 'mau', 'game', 'ini', 'sangat', 'sama', 'kayak', 'gitu', 'oke', 'sekarang', 'juga']","['game', 'bagus', 'memainkannya', 'a', 'nama', 'sadit', 'oke', 'download', 'oke', 'ndak', 'game', 'kayak', 'gitu', 'oke']","['game', 'bagus', 'main', 'a', 'nama', 'sadit', 'oke', 'download', 'oke', 'ndak', 'game', 'kayak', 'gitu', 'oke']",-1
4987,Hamzah ReXX,2,2021-01-07 07:51:48,Payah..,payah..,"['payah', '..']","['payah', '..']","['payah', '']",72
4988,Juju Juliana,5,2021-01-07 00:44:28,Bagus!!!!!,bagus!!!!!,"['bagus', '!', '!', '!', '!', '!']","['bagus', '!', '!', '!', '!', '!']","['bagus', '', '', '', '', '']",105
4989,Erni Rahayu,5,2021-01-07 00:29:59,Puas banget,puas banget,"['puas', 'banget']","['puas', 'banget']","['puas', 'banget']",96
4990,Ilham Hutari Mulki,1,2021-01-06 21:59:35,"Make a lot of profit,but cant make a good app.....damn McDonald's 😅","make a lot of profit,but cant make a good app.....damn mcdonald's 😅","['make', 'a', 'lot', 'of', 'profit', ',', 'but', 'cant', 'make', 'a', 'good', 'app', '.....', 'damn', 'mcdonald', ""'s"", '😅']","['make', 'a', 'lot', 'of', 'profit', ',', 'but', 'cant', 'make', 'a', 'good', 'app', '.....', 'damn', 'mcdonald', ""'s"", '😅']","['make', 'a', 'lot', 'of', 'profit', '', 'but', 'cant', 'make', 'a', 'good', 'app', '', 'damn', 'mcdonald', 's', '']",-1
4991,Novizal maulana,5,2021-01-06 16:21:10,"POKOKE BIASA DILUAR KALAW MUSIM HUJAN TINGGAL KLIK ATAW TLP, LANGSUNG MANGAP","pokoke biasa diluar kalaw musim hujan tinggal klik ataw tlp, langsung mangap","['pokoke', 'biasa', 'diluar', 'kalaw', 'musim', 'hujan', 'tinggal', 'klik', 'ataw', 'tlp', ',', 'langsung', 'mangap']","['pokoke', 'diluar', 'kalaw', 'musim', 'hujan', 'tinggal', 'klik', 'ataw', 'tlp', ',', 'langsung', 'mangap']","['pokoke', 'luar', 'kalaw', 'musim', 'hujan', 'tinggal', 'klik', 'ataw', 'tlp', '', 'langsung', 'mangap']",-1
4992,Akmafil Regan Mahardika,1,2021-01-06 11:48:22,"Aplikasi ga guna, mau makan di tempat juga mesti pake KTP atau SIM Padahal makan bayar bukan gratis","aplikasi ga guna, mau makan di tempat juga mesti pake ktp atau sim padahal makan bayar bukan gratis","['aplikasi', 'ga', 'guna', ',', 'mau', 'makan', 'di', 'tempat', 'juga', 'mesti', 'pake', 'ktp', 'atau', 'sim', 'padahal', 'makan', 'bayar', 'bukan', 'gratis']","['aplikasi', 'ga', ',', 'makan', 'mesti', 'pake', 'ktp', 'sim', 'makan', 'bayar', 'gratis']","['aplikasi', 'ga', '', 'makan', 'mesti', 'pake', 'ktp', 'sim', 'makan', 'bayar', 'gratis']",71
4993,Edwin Fauziyan,1,2021-01-05 11:44:42,"Sangat mengecewakan, pelayanan BUSUK. Mcd bintaro 09. Mau tukar voucer paket panas1 sebanyak 3 yg berbeda HP. Di anggap penipuan karna pimpinanya bodoh yg gak tau siatem prangkat. Panjang dah kalo d ceritakan semua","sangat mengecewakan, pelayanan busuk. mcd bintaro 09. mau tukar voucer paket panas1 sebanyak 3 yg berbeda hp. di anggap penipuan karna pimpinanya bodoh yg gak tau siatem prangkat. panjang dah kalo d ceritakan semua","['sangat', 'mengecewakan', ',', 'pelayanan', 'busuk', '.', 'mcd', 'bintaro', '09.', 'mau', 'tukar', 'voucer', 'paket', 'panas1', 'sebanyak', '3', 'yg', 'berbeda', 'hp', '.', 'di', 'anggap', 'penipuan', 'karna', 'pimpinanya', 'bodoh', 'yg', 'gak', 'tau', 'siatem', 'prangkat', '.', 'panjang', 'dah', 'kalo', 'd', 'ceritakan', 'semua']","['mengecewakan', ',', 'pelayanan', 'busuk', '.', 'mcd', 'bintaro', '09.', 'tukar', 'voucer', 'paket', 'panas1', '3', 'yg', 'berbeda', 'hp', '.', 'anggap', 'penipuan', 'karna', 'pimpinanya', 'bodoh', 'yg', 'gak', 'tau', 'siatem', 'prangkat', '.', 'dah', 'kalo', 'd', 'ceritakan']","['kecewa', '', 'layan', 'busuk', '', 'mcd', 'bintaro', '09', 'tukar', 'voucer', 'paket', 'panas1', '3', 'yg', 'beda', 'hp', '', 'anggap', 'tipu', 'karna', 'pimpinanya', 'bodoh', 'yg', 'gak', 'tau', 'siatem', 'prangkat', '', 'dah', 'kalo', 'd', 'cerita']",-1
4994,innayah hadiwijaya,4,2021-01-05 07:04:13,dapet panas 1 dri install aplikasiny gimana kak caranya,dapet panas 1 dri install aplikasiny gimana kak caranya,"['dapet', 'panas', '1', 'dri', 'install', 'aplikasiny', 'gimana', 'kak', 'caranya']","['dapet', 'panas', '1', 'dri', 'install', 'aplikasiny', 'gimana', 'kak']","['dapet', 'panas', '1', 'dri', 'install', 'aplikasiny', 'gimana', 'kak']",-1
4995,Mad Bel,1,2021-01-05 05:15:42,No coment,no coment,"['no', 'coment']","['no', 'coment']","['no', 'coment']",-1
4996,Agoes jabrix83,2,2021-01-04 14:07:12,Aplikasi ini terlalu sering minta upgrade dan makin kesini makin ga jelas.. Malah ga bisa dibuka dgan alasan yg aneh..,aplikasi ini terlalu sering minta upgrade dan makin kesini makin ga jelas.. malah ga bisa dibuka dgan alasan yg aneh..,"['aplikasi', 'ini', 'terlalu', 'sering', 'minta', 'upgrade', 'dan', 'makin', 'kesini', 'makin', 'ga', 'jelas', '..', 'malah', 'ga', 'bisa', 'dibuka', 'dgan', 'alasan', 'yg', 'aneh', '..']","['aplikasi', 'upgrade', 'kesini', 'ga', '..', 'ga', 'dibuka', 'dgan', 'alasan', 'yg', 'aneh', '..']","['aplikasi', 'upgrade', 'kesini', 'ga', '', 'ga', 'buka', 'dgan', 'alas', 'yg', 'aneh', '']",-1
4997,Saidah A'la,5,2021-01-04 10:24:10,Tarek ses,tarek ses,"['tarek', 'ses']","['tarek', 'ses']","['tarek', 'ses']",36
4998,The mbote Chips,1,2021-01-03 11:03:50,Kenapa gak bisa di buka sih,kenapa gak bisa di buka sih,"['kenapa', 'gak', 'bisa', 'di', 'buka', 'sih']","['gak', 'buka', 'sih']","['gak', 'buka', 'sih']",13
4999,Devi Ruyadi,5,2021-01-03 09:32:29,Ok,ok,['ok'],['ok'],['ok'],1
5000,Sara S,3,2021-01-03 09:16:49,Pengalaman yg terindah.di mcdonqld's jimbaran bali.waktu itu jam 12 siang nah kita mau makan siang sama putra saya.sy pesen makanan maunya makan di tempat.eh begitu lihat yg melayani liplik kemana2.mikup kemana2 yg namanya mata gak kelihatan.duh nafsu makan sy langsung hilang.dan pesanan makanan sy minta di bungkus.dan ahirnya sy mkn di pinggir pantai.itulah pengalaman sy yg ter indah,pengalaman yg terindah.di mcdonqld's jimbaran bali.waktu itu jam 12 siang nah kita mau makan siang sama putra saya.sy pesen makanan maunya makan di tempat.eh begitu lihat yg melayani liplik kemana2.mikup kemana2 yg namanya mata gak kelihatan.duh nafsu makan sy langsung hilang.dan pesanan makanan sy minta di bungkus.dan ahirnya sy mkn di pinggir pantai.itulah pengalaman sy yg ter indah,"['pengalaman', 'yg', 'terindah.di', 'mcdonqld', ""'s"", 'jimbaran', 'bali.waktu', 'itu', 'jam', '12', 'siang', 'nah', 'kita', 'mau', 'makan', 'siang', 'sama', 'putra', 'saya.sy', 'pesen', 'makanan', 'maunya', 'makan', 'di', 'tempat.eh', 'begitu', 'lihat', 'yg', 'melayani', 'liplik', 'kemana2.mikup', 'kemana2', 'yg', 'namanya', 'mata', 'gak', 'kelihatan.duh', 'nafsu', 'makan', 'sy', 'langsung', 'hilang.dan', 'pesanan', 'makanan', 'sy', 'minta', 'di', 'bungkus.dan', 'ahirnya', 'sy', 'mkn', 'di', 'pinggir', 'pantai.itulah', 'pengalaman', 'sy', 'yg', 'ter', 'indah']","['pengalaman', 'yg', 'terindah.di', 'mcdonqld', ""'s"", 'jimbaran', 'bali.waktu', 'jam', '12', 'siang', 'makan', 'siang', 'putra', 'saya.sy', 'pesen', 'makanan', 'maunya', 'makan', 'tempat.eh', 'lihat', 'yg', 'melayani', 'liplik', 'kemana2.mikup', 'kemana2', 'yg', 'namanya', 'mata', 'gak', 'kelihatan.duh', 'nafsu', 'makan', 'sy', 'langsung', 'hilang.dan', 'pesanan', 'makanan', 'sy', 'bungkus.dan', 'ahirnya', 'sy', 'mkn', 'pinggir', 'pantai.itulah', 'pengalaman', 'sy', 'yg', 'ter', 'indah']","['alam', 'yg', 'indah di', 'mcdonqld', 's', 'jimbaran', 'bal waktu', 'jam', '12', 'siang', 'makan', 'siang', 'putra', 'saya sy', 'sen', 'makan', 'mau', 'makan', 'tempat eh', 'lihat', 'yg', 'layan', 'liplik', 'kemana2 mikup', 'kemana2', 'yg', 'nama', 'mata', 'gak', 'lihat duh', 'nafsu', 'makan', 'sy', 'langsung', 'hilang dan', 'pesan', 'makan', 'sy', 'bungkus dan', 'ahirnya', 'sy', 'mkn', 'pinggir', 'pantai itu', 'alam', 'sy', 'yg', 'ter', 'indah']",118
5001,Rudiati Rudiati,5,2021-01-03 04:41:02,saffa,saffa,['saffa'],['saffa'],['saffa'],12
5002,Andriyanto Erlangga,4,2021-01-03 03:59:46,Ini bisa Pesen delivery?,ini bisa pesen delivery?,"['ini', 'bisa', 'pesen', 'delivery', '?']","['pesen', 'delivery', '?']","['sen', 'delivery', '']",5
5003,Tri Mulyati,5,2021-01-02 07:43:38,Sungguh enak dan nikmat ayam dan es creamnya,sungguh enak dan nikmat ayam dan es creamnya,"['sungguh', 'enak', 'dan', 'nikmat', 'ayam', 'dan', 'es', 'creamnya']","['sungguh', 'enak', 'nikmat', 'ayam', 'es', 'creamnya']","['sungguh', 'enak', 'nikmat', 'ayam', 'es', 'creamnya']",6
5004,Esra Apriyanto,5,2021-01-02 06:53:07,McD kren punya aplikasi yang di dalamnya banyak paket murah di tambah lagi dengan minuman cafe nya yg super murah wahh membentu sekali pada saat belajar online di McD free WiFi lagihhh aduhh mantap deh,mcd kren punya aplikasi yang di dalamnya banyak paket murah di tambah lagi dengan minuman cafe nya yg super murah wahh membentu sekali pada saat belajar online di mcd free wifi lagihhh aduhh mantap deh,"['mcd', 'kren', 'punya', 'aplikasi', 'yang', 'di', 'dalamnya', 'banyak', 'paket', 'murah', 'di', 'tambah', 'lagi', 'dengan', 'minuman', 'cafe', 'nya', 'yg', 'super', 'murah', 'wahh', 'membentu', 'sekali', 'pada', 'saat', 'belajar', 'online', 'di', 'mcd', 'free', 'wifi', 'lagihhh', 'aduhh', 'mantap', 'deh']","['mcd', 'kren', 'aplikasi', 'dalamnya', 'paket', 'murah', 'minuman', 'cafe', 'nya', 'yg', 'super', 'murah', 'wahh', 'membentu', 'belajar', 'online', 'mcd', 'free', 'wifi', 'lagihhh', 'aduhh', 'mantap', 'deh']","['mcd', 'kren', 'aplikasi', 'dalam', 'paket', 'murah', 'minum', 'cafe', 'nya', 'yg', 'super', 'murah', 'wahh', 'membentu', 'ajar', 'online', 'mcd', 'free', 'wifi', 'lagihhh', 'aduhh', 'mantap', 'deh']",-1
5005,Adoel Biby,5,2021-01-02 06:15:13,Makanan fave q,makanan fave q,"['makanan', 'fave', 'q']","['makanan', 'fave', 'q']","['makan', 'fave', 'q']",6
5006,Hendra Prasetija,5,2021-01-01 23:05:31,Jagonya ayam,jagonya ayam,"['jagonya', 'ayam']","['jagonya', 'ayam']","['jago', 'ayam']",9
5007,muhrama dani,1,2021-01-01 09:06:52,Tdk bisa terbuka,tdk bisa terbuka,"['tdk', 'bisa', 'terbuka']","['tdk', 'terbuka']","['tdk', 'buka']",13
5008,A.Danish Sakhiy,1,2021-01-01 05:29:01,Sudah install apk terbaru tidak bisa masuk,sudah install apk terbaru tidak bisa masuk,"['sudah', 'install', 'apk', 'terbaru', 'tidak', 'bisa', 'masuk']","['install', 'apk', 'terbaru', 'masuk']","['install', 'apk', 'baru', 'masuk']",-1
5009,OP warnet,1,2020-12-31 20:30:46,McD Cideng pegawaynya parah lemot dan saya mau mesan lewat online kadang selalu tutup,mcd cideng pegawaynya parah lemot dan saya mau mesan lewat online kadang selalu tutup,"['mcd', 'cideng', 'pegawaynya', 'parah', 'lemot', 'dan', 'saya', 'mau', 'mesan', 'lewat', 'online', 'kadang', 'selalu', 'tutup']","['mcd', 'cideng', 'pegawaynya', 'parah', 'lemot', 'mesan', 'online', 'kadang', 'tutup']","['mcd', 'cideng', 'pegawaynya', 'parah', 'lot', 'mesan', 'online', 'kadang', 'tutup']",5
5010,Yoshie Pangestu,1,2020-12-30 17:53:16,Mau cek harga aja susah amat,mau cek harga aja susah amat,"['mau', 'cek', 'harga', 'aja', 'susah', 'amat']","['cek', 'harga', 'aja', 'susah']","['cek', 'harga', 'aja', 'susah']",14
5011,Andrew Pandia,5,2020-12-28 14:15:17,Bagus sekali,bagus sekali,"['bagus', 'sekali']",['bagus'],['bagus'],66
5012,Shulthon Fathoni,2,2020-12-28 13:03:52,"Ntah kenapa muncul notif yg bikin gk bisa jalanin app, padahal notifikasi promonya muncul tp knp appnya bermasalah 🙃","ntah kenapa muncul notif yg bikin gk bisa jalanin app, padahal notifikasi promonya muncul tp knp appnya bermasalah 🙃","['ntah', 'kenapa', 'muncul', 'notif', 'yg', 'bikin', 'gk', 'bisa', 'jalanin', 'app', ',', 'padahal', 'notifikasi', 'promonya', 'muncul', 'tp', 'knp', 'appnya', 'bermasalah', '🙃']","['ntah', 'muncul', 'notif', 'yg', 'bikin', 'gk', 'jalanin', 'app', ',', 'notifikasi', 'promonya', 'muncul', 'tp', 'knp', 'appnya', 'bermasalah', '🙃']","['ntah', 'muncul', 'notif', 'yg', 'bikin', 'gk', 'jalanin', 'app', '', 'notifikasi', 'promonya', 'muncul', 'tp', 'knp', 'appnya', 'masalah', '']",-1
5013,winda dwi lestari,1,2020-12-28 09:08:06,Ini aplikasi kenapa sih udah 2x diinstal tetep aja gabisa dipake ngapangapain,ini aplikasi kenapa sih udah 2x diinstal tetep aja gabisa dipake ngapangapain,"['ini', 'aplikasi', 'kenapa', 'sih', 'udah', '2x', 'diinstal', 'tetep', 'aja', 'gabisa', 'dipake', 'ngapangapain']","['aplikasi', 'sih', 'udah', '2x', 'diinstal', 'tetep', 'aja', 'gabisa', 'dipake', 'ngapangapain']","['aplikasi', 'sih', 'udah', '2x', 'diinstal', 'tetep', 'aja', 'gabisa', 'dipake', 'ngapangapain']",15
5014,Prast Media Entertainment,1,2020-12-28 07:21:06,Very dissapointed,very dissapointed,"['very', 'dissapointed']","['very', 'dissapointed']","['very', 'dissapointed']",-1
5015,Ema Masjurroh,1,2020-12-28 04:14:26,Aplikasinya sulit diinstal,aplikasinya sulit diinstal,"['aplikasinya', 'sulit', 'diinstal']","['aplikasinya', 'sulit', 'diinstal']","['aplikasi', 'sulit', 'diinstal']",-1
5016,Dandi Ali,5,2020-12-28 02:00:23,👍👍👍👍👍👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼,👍👍👍👍👍👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼,['👍👍👍👍👍👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼'],['👍👍👍👍👍👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼'],[''],10
5017,Prima Wahyu,1,2020-12-27 17:51:22,Kecewa,kecewa,['kecewa'],['kecewa'],['kecewa'],33
5018,Iriawan Putranto,1,2020-12-27 09:05:09,Susah masuknya,susah masuknya,"['susah', 'masuknya']","['susah', 'masuknya']","['susah', 'masuk']",94
5019,Sayyid Alhambra,1,2020-12-27 08:27:29,Sangat buruk,sangat buruk,"['sangat', 'buruk']",['buruk'],['buruk'],-1
5020,Nita Faradila,5,2020-12-27 05:55:43,Ok si,ok si,"['ok', 'si']","['ok', 'si']","['ok', 'si']",84
5021,Nanda Setya Permadi,1,2020-12-27 01:32:46,"Sdh menggunakan aplikasi yang terbaru dan resmi dari google Play Store, kenapa tidak bisa? Padahal kemarin² tidak ada masalah. Tulisannya ""Maaf, nampaknya ada yang tidak jalan. Mohon pastikan Anda mengunduh dari google Play Store""","sdh menggunakan aplikasi yang terbaru dan resmi dari google play store, kenapa tidak bisa? padahal kemarin² tidak ada masalah. tulisannya ""maaf, nampaknya ada yang tidak jalan. mohon pastikan anda mengunduh dari google play store""","['sdh', 'menggunakan', 'aplikasi', 'yang', 'terbaru', 'dan', 'resmi', 'dari', 'google', 'play', 'store', ',', 'kenapa', 'tidak', 'bisa', '?', 'padahal', 'kemarin²', 'tidak', 'ada', 'masalah', '.', 'tulisannya', '``', 'maaf', ',', 'nampaknya', 'ada', 'yang', 'tidak', 'jalan', '.', 'mohon', 'pastikan', 'anda', 'mengunduh', 'dari', 'google', 'play', 'store', ""''""]","['sdh', 'aplikasi', 'terbaru', 'resmi', 'google', 'play', 'store', ',', '?', 'kemarin²', '.', 'tulisannya', '``', 'maaf', ',', 'nampaknya', 'jalan', '.', 'mohon', 'pastikan', 'mengunduh', 'google', 'play', 'store', ""''""]","['sdh', 'aplikasi', 'baru', 'resmi', 'google', 'play', 'store', '', '', 'kemarin', '', 'tulis', '', 'maaf', '', 'nampaknya', 'jalan', '', 'mohon', 'pasti', 'unduh', 'google', 'play', 'store', '']",87
5022,vn virom neken,5,2020-12-26 04:30:13,Anjayyyy😎😎😎😎,anjayyyy😎😎😎😎,['anjayyyy😎😎😎😎'],['anjayyyy😎😎😎😎'],['anjayyyy'],10
5023,salwa zuhairoh,2,2020-12-24 07:41:51,Knapa ya kadang eror ni,knapa ya kadang eror ni,"['knapa', 'ya', 'kadang', 'eror', 'ni']","['knapa', 'ya', 'kadang', 'eror', 'ni']","['knapa', 'ya', 'kadang', 'eror', 'ni']",-1
5024,Syahrul Aprilian,5,2020-12-24 04:41:24,Aplikasinya bagus mudah dimengerti,aplikasinya bagus mudah dimengerti,"['aplikasinya', 'bagus', 'mudah', 'dimengerti']","['aplikasinya', 'bagus', 'mudah', 'dimengerti']","['aplikasi', 'bagus', 'mudah', 'erti']",8
5025,tia firdaus,4,2020-12-24 04:15:01,"Kalo ga ada yang baru misal cara pembayaran atau apa gitu, jangan sering"" minta di update dong,memoriku penuh tau ga. Sering"" aja kasih gratisan di tanggal tua","kalo ga ada yang baru misal cara pembayaran atau apa gitu, jangan sering"" minta di update dong,memoriku penuh tau ga. sering"" aja kasih gratisan di tanggal tua","['kalo', 'ga', 'ada', 'yang', 'baru', 'misal', 'cara', 'pembayaran', 'atau', 'apa', 'gitu', ',', 'jangan', 'sering', ""''"", 'minta', 'di', 'update', 'dong', ',', 'memoriku', 'penuh', 'tau', 'ga.', 'sering', ""''"", 'aja', 'kasih', 'gratisan', 'di', 'tanggal', 'tua']","['kalo', 'ga', 'pembayaran', 'gitu', ',', ""''"", 'update', ',', 'memoriku', 'penuh', 'tau', 'ga.', ""''"", 'aja', 'kasih', 'gratisan', 'tanggal', 'tua']","['kalo', 'ga', 'bayar', 'gitu', '', '', 'update', '', 'memori', 'penuh', 'tau', 'ga', '', 'aja', 'kasih', 'gratis', 'tanggal', 'tua']",-1
5026,Budy Mulyana Wijaya,5,2020-12-23 21:27:57,App ini banyak membantu kita dlm kesepian,app ini banyak membantu kita dlm kesepian,"['app', 'ini', 'banyak', 'membantu', 'kita', 'dlm', 'kesepian']","['app', 'membantu', 'dlm', 'kesepian']","['app', 'bantu', 'dlm', 'sepi']",8
5027,Adhay Zola,1,2020-12-23 13:46:39,"Saya driver Serpong sdc saya sangat kecewa dengan pelayanan McDonald's sdc ,,udah lama sistemnya pun buang waktu para driver ,,,coba rubah sistem pelayanan untuk para drivernya","saya driver serpong sdc saya sangat kecewa dengan pelayanan mcdonald's sdc ,,udah lama sistemnya pun buang waktu para driver ,,,coba rubah sistem pelayanan untuk para drivernya","['saya', 'driver', 'serpong', 'sdc', 'saya', 'sangat', 'kecewa', 'dengan', 'pelayanan', 'mcdonald', ""'s"", 'sdc', ',', ',udah', 'lama', 'sistemnya', 'pun', 'buang', 'waktu', 'para', 'driver', ',', ',', ',', 'coba', 'rubah', 'sistem', 'pelayanan', 'untuk', 'para', 'drivernya']","['driver', 'serpong', 'sdc', 'kecewa', 'pelayanan', 'mcdonald', ""'s"", 'sdc', ',', ',udah', 'sistemnya', 'buang', 'driver', ',', ',', ',', 'coba', 'rubah', 'sistem', 'pelayanan', 'drivernya']","['driver', 'serpong', 'sdc', 'kecewa', 'layan', 'mcdonald', 's', 'sdc', '', 'udah', 'sistem', 'buang', 'driver', '', '', '', 'coba', 'rubah', 'sistem', 'layan', 'drivernya']",5
5028,Gema Wahyudi,5,2020-12-23 12:29:55,Best,best,['best'],['best'],['best'],49
5029,Achmad Zain Wahjudi,5,2020-12-22 21:59:38,💯,💯,['💯'],['💯'],[''],91
5030,riski aulia,1,2020-12-22 02:04:45,Buang buang kuota aja unduh app ini gk bisa digunain untuk apa ada app nya mending hapus aja,buang buang kuota aja unduh app ini gk bisa digunain untuk apa ada app nya mending hapus aja,"['buang', 'buang', 'kuota', 'aja', 'unduh', 'app', 'ini', 'gk', 'bisa', 'digunain', 'untuk', 'apa', 'ada', 'app', 'nya', 'mending', 'hapus', 'aja']","['buang', 'buang', 'kuota', 'aja', 'unduh', 'app', 'gk', 'digunain', 'app', 'nya', 'mending', 'hapus', 'aja']","['buang', 'buang', 'kuota', 'aja', 'unduh', 'app', 'gk', 'digunain', 'app', 'nya', 'mending', 'hapus', 'aja']",-1
5031,Linda Listyana,1,2020-12-21 07:40:51,gak bisa dipakai,gak bisa dipakai,"['gak', 'bisa', 'dipakai']","['gak', 'dipakai']","['gak', 'pakai']",115
5032,Oh Indanaa,1,2020-12-21 03:57:53,Apk tdk bisa log in,apk tdk bisa log in,"['apk', 'tdk', 'bisa', 'log', 'in']","['apk', 'tdk', 'log', 'in']","['apk', 'tdk', 'log', 'in']",-1
5033,Sareng Parto,5,2020-12-20 11:10:48,Ok,ok,['ok'],['ok'],['ok'],1
5034,Lintang Ayyu,1,2020-12-18 04:21:17,kenapa aplikasi tidak bisa dibuka ya,kenapa aplikasi tidak bisa dibuka ya,"['kenapa', 'aplikasi', 'tidak', 'bisa', 'dibuka', 'ya']","['aplikasi', 'dibuka', 'ya']","['aplikasi', 'buka', 'ya']",45
5035,Ria Yati,1,2020-12-17 09:25:01,Aplikasi jelek,aplikasi jelek,"['aplikasi', 'jelek']","['aplikasi', 'jelek']","['aplikasi', 'jelek']",82
5036,Fadli yana,5,2020-12-16 16:46:29,Oke Mksh,oke mksh,"['oke', 'mksh']","['oke', 'mksh']","['oke', 'mksh']",78
5037,Syarif Hasanuddin,3,2020-12-16 15:54:32,Kok di hp saya tidak bisa digunakan ya aplikasinya. Ada semacam peringatan pas mau masuk,kok di hp saya tidak bisa digunakan ya aplikasinya. ada semacam peringatan pas mau masuk,"['kok', 'di', 'hp', 'saya', 'tidak', 'bisa', 'digunakan', 'ya', 'aplikasinya', '.', 'ada', 'semacam', 'peringatan', 'pas', 'mau', 'masuk']","['hp', 'ya', 'aplikasinya', '.', 'peringatan', 'pas', 'masuk']","['hp', 'ya', 'aplikasi', '', 'ingat', 'pas', 'masuk']",17
5038,Mayriliana Ristantra,1,2020-12-16 05:07:14,"Kenapa saya gak bisa masuk ya, dengan alasan lokasi. Padahal lokasi dan country sudah benar","kenapa saya gak bisa masuk ya, dengan alasan lokasi. padahal lokasi dan country sudah benar","['kenapa', 'saya', 'gak', 'bisa', 'masuk', 'ya', ',', 'dengan', 'alasan', 'lokasi', '.', 'padahal', 'lokasi', 'dan', 'country', 'sudah', 'benar']","['gak', 'masuk', 'ya', ',', 'alasan', 'lokasi', '.', 'lokasi', 'country']","['gak', 'masuk', 'ya', '', 'alas', 'lokasi', '', 'lokasi', 'country']",13
5039,Ika Sukma pratiwi,5,2020-12-13 09:21:54,Baik,baik,['baik'],[],[],73
5040,Alone Dian,5,2020-12-13 03:55:46,Ok,ok,['ok'],['ok'],['ok'],1
5041,Dim Skuy,2,2020-12-12 23:24:54,Gabisa dibuka sama sekali,gabisa dibuka sama sekali,"['gabisa', 'dibuka', 'sama', 'sekali']","['gabisa', 'dibuka']","['gabisa', 'buka']",100
5042,Rico pradika,2,2020-12-12 12:47:09,"Awalnya aja bagus eh kalo udh weekend ini aplikasi kagak bisa dibuka, error mulu. Buat promo kok takut RUGIII hadeehhhh payah McD 😪","awalnya aja bagus eh kalo udh weekend ini aplikasi kagak bisa dibuka, error mulu. buat promo kok takut rugiii hadeehhhh payah mcd 😪","['awalnya', 'aja', 'bagus', 'eh', 'kalo', 'udh', 'weekend', 'ini', 'aplikasi', 'kagak', 'bisa', 'dibuka', ',', 'error', 'mulu', '.', 'buat', 'promo', 'kok', 'takut', 'rugiii', 'hadeehhhh', 'payah', 'mcd', '😪']","['aja', 'bagus', 'eh', 'kalo', 'udh', 'weekend', 'aplikasi', 'kagak', 'dibuka', ',', 'error', 'mulu', '.', 'promo', 'takut', 'rugiii', 'hadeehhhh', 'payah', 'mcd', '😪']","['aja', 'bagus', 'eh', 'kalo', 'udh', 'weekend', 'aplikasi', 'kagak', 'buka', '', 'error', 'mulu', '', 'promo', 'takut', 'rugiii', 'hadeehhhh', 'payah', 'mcd', '']",-1
